batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,44.5422
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,37.6151
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,31.7565
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,27.471
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,25.1632
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,23.794
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,21.9754
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,21.3481
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,20.2491
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,19.9213
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,19.0001
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,18.7986
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,18.1745
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,17.6608
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,17.1975
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,16.5025
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,15.8707
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,15.438
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,14.4188
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,14.6878
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,12.6851
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,11.9144
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,10.9897
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,10.3685
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,9.92459
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,9.41745
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,8.83117
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,8.46677
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,16.1359
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,8.7552
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,8.32825
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,7.89557
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,7.66549
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,7.48964
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,6.82689
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,6.55906
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,6.41864
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,8.85127
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,7.8293
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,6.82633
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,5.18477
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,5.25863
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,4.7455
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,5.2071
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,7.50203
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,6.46401
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,4.67129
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,4.21861
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,4.15333
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,4.21986
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,3.69523
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,3.54695
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,4.02856
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,3.34673
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,3.30586
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,2.80786
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,2.61628
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,2.56387
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,2.91508
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,3.32045
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,2.64054
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,3.49105
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,2.93662
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,3.4279
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,3.2729
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,3.22535
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,3.21444
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,3.11707
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,2.96831
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,2.72202
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,2.51969
